Deg;Mo;GO;CO;CR;P1;PW;T3P;T1;Ready
0;1;28,1;19;32;0,48;24;306,7195;28;1
0;1;30,5;20;32;0,52;26;311,4609;28;1
0;1;26,9;18;30;0,46;23;301,7011;28;1
0;1;27,8;19;30;0,48;24;306,7195;29;1
0;1;29,1;20;32;0,5;25;311,4609;29;1
0;1;34,7;23;32;0,6;29;324,4851;30;1
0;1;36,4;24;32;0,66;31;328,5805;30;1
0;1;31;21;32;0,54;27;315,9715;31;1
0;1;31,6;21;32;0,56;27;315,9715;31;1
0;1;27,2;19;28;0,46;23;306,7195;31;1
0;1;27,7;19;32;0,48;24;306,7195;31;1
0;1;26;17;28;0,44;22;296,3595;31;1
0;1;28,3;19;32;0,48;25;306,7195;31;1
0;1;21,5;15;28;0,44;20;284,5219;31;1
0;1;21,5;15;30;0,4;19;284,5219;31;1
0;1;24,6;16;30;0,42;21;290,6485;31;1
0;1;22,7;15;30;0,38;20;284,5219;31;1
0;1;21,8;16;30;0,42;19;290,6485;32;1
0;1;23,3;16;30;0,44;20;290,6485;32;1
0;1;19,5;14;28;0,36;17;277,9335;32;1
0;1;27,8;19;30;0,42;24;306,7195;32;1
0;1;21,5;15;28;0,4;19;284,5219;32;1
0;1;42,1;27;34;0,78;35;340,7755;33;1
0;1;42,7;29;34;0,8;37;349,2915;34;1
0;1;45,2;29;34;0,84;37;349,2915;36;1
0;1;42,5;28;34;0,78;36;344,9641;37;1
0;1;45,6;29;34;0,84;37;349,2915;37;1
0;1;41,2;27;34;0,78;35;340,7755;37;1
0;2;50,1;33;36;0,94;41;385,4558;37;1
0;2;52,6;34;36;1,02;43;392,4298;39;1
0;2;52,4;33;36;0,98;43;385,4558;39;1
0;2;51,4;34;36;1,02;43;392,4298;40;1
0;2;51,3;33;36;1;42;385,4558;41;1
0;2;53,5;35;38;1,02;45;399,896;41;1
0;2;48,9;32;36;0,96;40;378,9254;41;1
0;2;47,4;31;36;0,92;40;372,79;41;1
0;2;49,8;32;36;0,94;40;378,9254;41;1
