Deg;Mo;GO;CO;CR;P1;PW;T3P;T1;Ready
0;1;0;0;0;0;0;111,3;20;0
0;1;0;0;0;0;0;111,3;20;0
0;1;0;0;0;0;0;111,3;20;0
0;1;0;0;0;0;0;111,3;20;0
0;1;0;0;0;0;0;111,3;20;0
0;1;0;0;0;0;0;111,3;20;0
0;1;0;0;0;0;0;111,3;21;0
0;1;0;0;0;0;0;111,3;20;0
0;1;0;0;0;0;0;111,3;21;0
0;1;0;0;0;0;0;111,3;20;0
0;1;0;0;0;0;0;111,3;20;0
0;1;0;0;0;0;0;111,3;20;0
0;1;0;0;0;0;0;111,3;20;0
0;1;0;0;0;0;0;111,3;21;0
0;1;0;0;0;0;0;111,3;20;0
0;1;0;0;0;0;0;111,3;20;0
0;1;0;0;0;0;0;111,3;20;0
0;1;0;0;0;0;0;111,3;20;0
0;1;0;0;0;0;0;111,3;21;0
0;1;0;0;0;0;0;111,3;20;0
0;1;0;0;0;0;0;111,3;20;0
0;1;0;0;0;0;0;111,3;20;0
0;1;0;0;0;0;0;111,3;20;0
0;1;0;0;0;0;0;111,3;20;0
0;1;0;0;0;0;0;111,3;20;0
0;1;0;0;0;0;0;111,3;20;0
0;1;0;0;0;0;0;111,3;20;0
0;1;0;0;0;0;0;111,3;20;0
0;1;0;0;0;0;0;111,3;20;0
0;1;0;0;0;0;0;111,3;20;0
0;1;0;0;0;0;0;111,3;20;0
0;1;0;0;0;0;0;111,3;20;0
0;1;0;0;0;0;0;111,3;21;0
0;1;0;0;0;0;0;111,3;21;0
0;1;0;0;0;0;0;111,3;20;0
0;1;0;0;0;0;0;111,3;20;0
0;1;0;0;0;0;0;111,3;20;0
0;1;0;0;0;0;0;111,3;21;0
0;1;0;0;0;0;0;111,3;21;0
0;1;0;0;0;0;0;111,3;21;0
0;1;0;0;0;0;0;111,3;20;0
0;1;0;0;0;0;0;111,3;21;0
0;1;0;0;0;0;0;111,3;21;0
0;1;0;0;0;0;0;111,3;21;0
0;1;0;0;0;0;0;111,3;21;0
0;1;0;0;0;0;0;111,3;21;0
0;1;0;0;0;0;0;111,3;20;0
0;1;0;0;0;0;0;111,3;21;0
0;1;0;0;0;0;0;111,3;20;0
0;1;0;0;0;0;0;111,3;21;0
0;1;0;0;0;0;0;111,3;21;0
0;1;0;0;0;0;0;111,3;21;0
0;1;0;0;0;0;0;111,3;21;0
0;1;0;0;0;0;0;111,3;21;0
0;1;0;0;0;0;0;111,3;21;0
0;1;0;0;0;0;0;111,3;21;0
